"sentence","noun_phrase","grammatical","corrected"
"They had to perform the Simon task .","the Simon task","yes","the Simon task"
"Such findings are interpreted as being the evidence for increased automaticity in the conflict processing .","Such findings","yes","Such findings"
"Such findings are interpreted as being the evidence for increased automaticity in the conflict processing .","Such findings","yes","Such findings"
"Such findings are interpreted as being the evidence for increased automaticity in the conflict processing .","the evidence","yes","the evidence"
"Such findings are interpreted as being the evidence for increased automaticity in the conflict processing .","increased automaticity","yes","increased automaticity"
"Such findings are interpreted as being the evidence for increased automaticity in the conflict processing .","the conflict processing","no","conflict processing"
"Another fMRI study found that conflict adaptation is indeed a domain-general phenomenon .","Another fMRI study","yes","Another fMRI study"
"Another fMRI study found that conflict adaptation is indeed a domain-general phenomenon .","conflict adaptation","yes","conflict adaptation"
"Another fMRI study found that conflict adaptation is indeed a domain-general phenomenon .","a domain-general phenomenon","yes","a domain-general phenomenon"
"Yuan et al. used the crossed-task adaptive design in order to look for the neural connection between language control within bilingualism and cognitive control .","Yuan et al.","yes","Yuan et al."
"Yuan et al. used the crossed-task adaptive design in order to look for the neural connection between language control within bilingualism and cognitive control .","the crossed-task adaptive design","yes","the crossed-task adaptive design"
